Latitude (decimal degrees):	38.246
Longitude (decimal degrees):	-0.807
Elevation (m):	120
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,4.19,2.14,0.0
20190101:0110,0.0,0.0,0.0,3.65,2.14,0.0
20190101:0210,0.0,0.0,0.0,3.3,2.07,0.0
20190101:0310,0.0,0.0,0.0,3.02,2.14,0.0
20190101:0410,0.0,0.0,0.0,2.82,2.21,0.0
20190101:0510,0.0,0.0,0.0,2.68,2.28,0.0
20190101:0610,0.0,0.0,0.0,2.54,2.28,0.0
20190101:0710,0.0,0.0,0.0,1.92,2.41,0.0
20190101:0810,219.36,267.06,7.4,2.38,2.21,0.0
20190101:0910,467.13,550.47,16.07,5.77,1.72,0.0
20190101:1010,605.09,741.22,22.92,11.02,1.38,0.0
20190101:1110,679.37,859.53,27.32,14.61,1.31,0.0
20190101:1210,694.25,887.24,28.74,16.61,1.52,0.0
20190101:1310,644.57,818.52,26.96,17.66,1.72,0.0
20190101:1410,572.35,720.77,22.25,18.08,1.72,0.0
20190101:1510,404.95,506.15,15.16,17.87,1.59,0.0
20190101:1610,186.15,247.21,6.32,16.7,1.59,0.0
20190101:1710,0.0,0.0,0.0,14.15,1.59,0.0
20190101:1810,0.0,0.0,0.0,11.52,1.59,0.0
20190101:1910,0.0,0.0,0.0,10.69,1.24,0.0
20190101:2010,0.0,0.0,0.0,8.32,1.59,0.0
20190101:2110,0.0,0.0,0.0,6.05,2.0,0.0
20190101:2210,0.0,0.0,0.0,4.74,2.07,0.0
20190101:2310,0.0,0.0,0.0,4.0,2.14,0.0
20190102:0010,0.0,0.0,0.0,3.82,2.28,0.0
20190102:0110,0.0,0.0,0.0,3.94,2.41,0.0
20190102:0210,0.0,0.0,0.0,4.07,2.55,0.0
20190102:0310,0.0,0.0,0.0,4.01,2.62,0.0
20190102:0410,0.0,0.0,0.0,3.9,2.69,0.0
20190102:0510,0.0,0.0,0.0,3.8,2.69,0.0
20190102:0610,0.0,0.0,0.0,3.7,2.69,0.0
20190102:0710,0.0,0.0,0.0,3.63,2.69,0.0
20190102:0810,212.91,261.04,7.39,3.9,2.69,0.0
20190102:0910,463.76,544.97,16.08,6.46,2.41,0.0
20190102:1010,603.44,727.85,22.95,10.4,2.28,0.0
20190102:1110,683.61,844.38,27.38,13.56,2.48,0.0
20190102:1210,712.8,888.98,28.83,15.62,2.9,0.0
20190102:1310,667.93,834.29,27.07,16.94,2.83,0.0
20190102:1410,574.33,716.5,22.37,17.59,2.28,0.0
20190102:1510,412.73,513.99,15.29,17.35,1.72,0.0
20190102:1610,195.09,257.14,6.45,15.94,1.72,0.0
