Latitude (decimal degrees):	46.457
Longitude (decimal degrees):	11.323
Elevation (m):	231
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0010,0.0,0.0,0.0,0.05,0.34,0.0
20160101:0110,0.0,0.0,0.0,0.5,0.41,0.0
20160101:0210,0.0,0.0,0.0,0.4,0.41,0.0
20160101:0310,0.0,0.0,0.0,0.25,0.41,0.0
20160101:0410,0.0,0.0,0.0,0.0,0.41,0.0
20160101:0510,0.0,0.0,0.0,-0.28,0.48,0.0
20160101:0610,0.0,0.0,0.0,-0.54,0.55,0.0
20160101:0710,0.0,0.0,0.0,-0.25,0.55,0.0
20160101:0810,14.75,28.96,8.64,-0.24,0.48,0.0
20160101:0910,491.57,577.33,14.79,1.86,0.28,0.0
20160101:1010,592.84,710.62,18.87,3.72,0.28,0.0
20160101:1110,619.87,751.77,20.51,5.4,0.34,0.0
20160101:1210,601.79,733.93,19.52,6.2,0.14,0.0
20160101:1310,493.64,593.82,16.01,6.37,0.14,0.0
20160101:1410,346.91,415.32,10.33,5.98,0.41,0.0
20160101:1510,1.5,9.05,2.95,5.57,0.48,0.0
20160101:1610,0.0,0.0,0.0,4.68,0.48,0.0
20160101:1710,0.0,0.0,0.0,3.88,0.55,0.0
20160101:1810,0.0,0.0,0.0,3.24,0.55,0.0
20160101:1910,0.0,0.0,0.0,2.64,0.55,0.0
20160101:2010,0.0,0.0,0.0,2.11,0.48,0.0
20160101:2110,0.0,0.0,0.0,1.61,0.48,0.0
20160101:2210,0.0,0.0,0.0,1.08,0.48,0.0
20160101:2310,0.0,0.0,0.0,0.34,0.41,0.0
20160102:0010,0.0,0.0,0.0,-0.08,0.41,0.0
20160102:0110,0.0,0.0,0.0,-0.93,0.34,0.0
20160102:0210,0.0,0.0,0.0,-1.39,0.34,0.0
20160102:0310,0.0,0.0,0.0,-1.78,0.34,0.0
20160102:0410,0.0,0.0,0.0,-2.23,0.41,0.0
20160102:0510,0.0,0.0,0.0,-2.89,0.34,0.0
20160102:0610,0.0,0.0,0.0,-3.07,0.34,0.0
20160102:0710,0.0,0.0,0.0,-2.78,0.41,0.0
20160102:0810,33.97,52.49,8.66,-2.53,0.34,0.0
20160102:0910,0.0,0.0,0.0,-1.22,0.34,0.0
20160102:1010,94.87,122.44,18.94,0.54,0.34,0.0
20160102:1110,130.4,161.93,20.6,1.14,0.34,0.0
20160102:1210,124.62,155.7,19.62,1.5,0.41,0.0
20160102:1310,394.71,457.8,16.13,1.45,0.48,0.0
20160102:1410,37.47,57.36,10.46,1.11,0.41,0.0
20160102:1510,4.09,13.58,3.08,0.65,0.41,0.0
20160102:1610,0.0,0.0,0.0,0.46,0.41,0.0
20160102:1710,0.0,0.0,0.0,0.34,0.34,0.0
20160102:1810,0.0,0.0,0.0,0.25,0.41,0.0
20160102:1910,0.0,0.0,0.0,0.42,0.48,0.0
20160102:2010,0.0,0.0,0.0,0.26,0.41,0.0
20160102:2110,0.0,0.0,0.0,0.09,0.41,0.0
20160102:2210,0.0,0.0,0.0,-0.02,0.41,0.0
20160102:2310,0.0,0.0,0.0,-0.14,0.41,0.0
20160103:0010,0.0,0.0,0.0,-0.12,0.41,0.0
20160103:0110,0.0,0.0,0.0,0.38,0.55,0.0
20160103:0210,0.0,0.0,0.0,0.38,0.62,0.0
20160103:0310,0.0,0.0,0.0,0.44,0.62,0.0
20160103:0410,0.0,0.0,0.0,0.39,0.69,0.0
20160103:0510,0.0,0.0,0.0,0.46,0.69,0.0
20160103:0610,0.0,0.0,0.0,0.41,0.69,0.0
20160103:0710,0.0,0.0,0.0,0.09,0.69,0.0
20160103:0810,27.57,45.25,8.69,0.01,0.55,0.0
20160103:0910,385.27,446.5,14.87,1.09,0.48,0.0
20160103:1010,457.82,536.01,19.01,3.26,0.62,0.0
20160103:1110,477.02,562.99,20.69,4.38,0.55,0.0
20160103:1210,483.38,573.83,19.73,4.84,0.34,0.0
20160103:1310,431.28,508.65,16.25,4.77,0.55,0.0
20160103:1410,305.55,361.41,10.59,4.19,0.9,0.0
20160103:1510,1.54,9.05,3.21,3.0,0.97,0.0
20160103:1610,0.0,0.0,0.0,1.6,1.03,0.0
20160103:1710,0.0,0.0,0.0,0.8,1.1,0.0
20160103:1810,0.0,0.0,0.0,0.0,1.1,0.0
20160103:1910,0.0,0.0,0.0,-0.37,1.03,0.0
20160103:2010,0.0,0.0,0.0,-0.82,1.03,0.0
20160103:2110,0.0,0.0,0.0,-1.32,1.03,0.0
20160103:2210,0.0,0.0,0.0,-1.52,1.1,0.0
20160103:2310,0.0,0.0,0.0,-1.78,1.1,0.0
20160104:0010,0.0,0.0,0.0,-1.64,1.1,0.0
20160104:0110,0.0,0.0,0.0,-1.64,1.1,0.0
20160104:0210,0.0,0.0,0.0,-1.65,1.17,0.0
20160104:0310,0.0,0.0,0.0,-1.87,1.03,0.0
20160104:0410,0.0,0.0,0.0,-1.9,0.9,0.0
20160104:0510,0.0,0.0,0.0,-1.94,0.9,0.0
20160104:0610,0.0,0.0,0.0,-1.99,0.83,0.0
20160104:0710,0.0,0.0,0.0,-1.95,0.9,0.0
20160104:0810,33.11,51.59,8.72,-1.8,0.76,0.0
20160104:0910,81.94,107.37,14.93,-0.48,0.9,0.0
20160104:1010,91.82,118.79,19.08,0.27,1.03,0.0
20160104:1110,69.71,94.6,20.79,1.16,0.83,0.0
20160104:1210,63.51,87.98,19.85,2.17,0.41,0.0
20160104:1310,75.05,101.14,16.38,2.47,0.21,0.0
